Mar 17, 2020 4:32:37 PM org.apache.karaf.main.Main launch
INFO: Installing and starting initial bundles
Mar 17, 2020 4:32:37 PM org.apache.karaf.main.Main launch
INFO: All initial bundles installed and set to start
Mar 17, 2020 4:32:37 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Trying to lock /Users/chu/Sonoma/karaf-4.2.8-self/apache-karaf-4.2.8/lock
Mar 17, 2020 4:32:37 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Lock acquired
Mar 17, 2020 4:32:37 PM org.apache.karaf.main.Main$KarafLockCallback lockAcquired
INFO: Lock acquired. Setting startlevel to 100
2020-03-17T16:32:38,625 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |       mvn:org.jline/jline-terminal-jansi/3.13.2
2020-03-17T16:32:38,625 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |       mvn:org.ops4j.pax.url/pax-url-wrap/2.6.2/jar/uber
2020-03-17T16:32:38,627 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 | Installing bundles:
2020-03-17T16:32:38,627 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   mvn:org.apache.aries.jmx/org.apache.aries.jmx.api/1.1.5
2020-03-17T16:32:38,631 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   mvn:org.apache.aries.jmx/org.apache.aries.jmx.core/1.1.8
2020-03-17T16:32:38,634 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   mvn:org.apache.aries.jmx/org.apache.aries.jmx.whiteboard/1.2.0
2020-03-17T16:32:38,638 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   mvn:org.apache.aries/org.apache.aries.util/1.1.3
2020-03-17T16:32:38,644 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   mvn:org.apache.karaf.bundle/org.apache.karaf.bundle.core/4.2.8
2020-03-17T16:32:38,648 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   mvn:org.apache.karaf.config/org.apache.karaf.config.core/4.2.8
2020-03-17T16:32:38,652 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.features/4.2.8
2020-03-17T16:32:38,655 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.kar/4.2.8
2020-03-17T16:32:38,658 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.wrap/4.2.8
2020-03-17T16:32:38,661 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   mvn:org.apache.karaf.diagnostic/org.apache.karaf.diagnostic.core/4.2.8
2020-03-17T16:32:38,664 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   mvn:org.apache.karaf/org.apache.karaf.event/4.2.8
2020-03-17T16:32:38,667 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   mvn:org.apache.karaf.features/org.apache.karaf.features.command/4.2.8
2020-03-17T16:32:38,670 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   mvn:org.apache.karaf.instance/org.apache.karaf.instance.core/4.2.8
2020-03-17T16:32:38,675 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.command/4.2.8
2020-03-17T16:32:38,678 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.config/4.2.8
